"FMAID","Preferred Label","Parent FMAID"
258778,"Segment of wrist",24876
22192,"Rootlet of right twelfth thoracic nerve",22191
42681,"Fibrous membrane of synovial tendon sheath of middle finger",40877
37008,"Synovial fluid of subtendinous bursa of right infraspinatus muscle",37007
31888,"Anterior wall of trachea",86120
318883,"Lateral region of ramus proper of mandible",59469
318885,"Lateral region of right ramus proper of mandible",318883
318887,"Lateral region of left ramus proper of mandible",318883
318889,"Medial region of ramus proper of mandible",59469
46152,"Lateral head of third dorsal interosseous of hand",46133
87240,"Wall of anterior ramus of right apical segmental bronchus",87237
40138,"Articular cartilage of trapezial facet of left trapezoid",40135
63931,"Fetal heart",63929
327231,"Tip of epiglottis",78442
11814,"Right pedicle of fourth thoracic vertebra",9258
52278,"Pleura of costal surface of posterior basal bronchopulmonary segment",21454
40898,"Fibrous membrane of synovial tendon sheath of extensor carpi ulnaris",40877
39036,"Epimysium of left subscapularis",39034
12369,"Medullary branch of fifth posterior intercostal artery",4185
87564,"Space of posterior part of superior mediastinum",87562
18004,"Muscle layer of cystic duct",14687
79206,"Right palatine artery",79205
61159,"Eminence of scapha",61154
17408,"Posterior wall of duodenum",86109
16243,"Lateral surface of body of third lumbar vertebra",16224
19632,"Superficial layer of tunica albuginea of corpus spongiosum of penis",19631
77881,"Sphincter of common bile duct",78562
25583,"Cartilage of inferior surface of body of sixth cervical vertebra",25603
255838,"Subdivision of vertebral segment of esophagus",55269
255834,"Esophageal segment of esophagogastric junction",55269
255836,"Esophageal segment of pharyngoesophageal junction",55269
19395,"Diverticulum of left seminal vesicle",19393
305494,"Root trunk of superior division of lateral root of median nerve",305349
30549,"Cartilage of third lumbar vertebral arch",30527
305496,"Root trunk of superior division of lateral root of right median nerve",305494
305492,"Lateral root trunk of left median nerve",305488
305490,"Lateral root trunk of right median nerve",305488
305498,"Root trunk of superior division of lateral root of left median nerve",305494
72627,"Glossopharyngeal nerve tract",82524
37595,"Diaphysis of proximal phalanx of left little finger",37593
24997,"Metatarsus",24993
22191,"Rootlet of twelfth thoracic nerve",14062
